image name,movie type,color1_R,color1_G,color1_B,color2_R,color2_G,color2_B,color3_R,color3_G,color3_B,color4_R,color4_G,color4_B,color5_R,color5_G,color5_B,color6_R,color6_G,color6_B,color7_R,color7_G,color7_B,color8_R,color8_G,color8_B,color9_R,color9_G,color9_B,color10_R,color10_G,color10_B
horror_24.jpg,horror,222,222,222,176,50,44,31,11,11,60,19,19,200,57,50,196,106,105,144,41,38,242,212,206,94,28,28,213,53,45
horror_25.jpg,horror,4,3,7,98,232,208,110,106,91,14,15,18,168,167,159,73,149,138,215,214,209,117,27,58,30,33,34,56,66,61
horror_26.jpg,horror,222,222,222,11,7,7,92,92,92,63,13,18,166,37,55,63,63,63,26,16,16,1,1,1,42,41,41,106,25,35
horror_27.jpg,horror,183,107,43,222,222,222,46,7,8,121,16,14,79,12,10,152,143,140,186,39,18,110,66,41,223,164,53,19,3,3
horror_28.jpg,horror,222,222,222,40,17,13,93,65,55,104,47,22,177,105,56,155,147,144,139,74,42,10,8,9,225,159,79,71,32,19
horror_3.jpg,horror,1,1,1,222,222,222,70,63,61,128,124,123,47,41,39,29,24,23,158,153,150,97,92,90,204,204,204,14,11,11
horror_4.jpg,horror,222,222,222,16,25,32,60,71,75,133,141,139,36,48,53,160,169,166,108,117,117,190,202,203,85,95,98,4,5,8
horror_5.jpg,horror,147,130,131,22,30,45,222,222,222,43,51,69,52,76,105,9,12,22,142,22,25,91,113,138,167,172,175,98,85,88
horror_6.jpg,horror,222,222,222,45,62,74,123,143,157,15,17,20,168,185,196,98,119,131,29,40,48,145,166,179,192,203,212,71,91,103
horror_7.jpg,horror,222,222,222,29,39,42,4,6,7,91,108,110,68,84,86,13,20,23,193,200,200,49,61,63,117,137,138,147,166,167
horror_8.jpg,horror,135,116,110,222,222,222,74,41,38,205,98,93,133,64,62,169,77,75,39,39,37,238,123,109,104,51,48,226,175,131
horror_9.jpg,horror,242,228,208,33,17,10,118,95,64,222,222,221,82,66,43,132,130,107,56,94,82,185,174,155,189,130,55,49,45,29
